                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.085,                 2.0066,                 1.7022,                 1.2519,                0.01016,                0.44158,                0.00818,                0.00354,                0.00567,                0.25797,                0.00358,                0.00126,                 2.5023,                 47.273,                    inf,                 8.2547,             0.00064762,             0.00064762,             0.00064762
                      1,                0.95785,                 1.3061,                0.86514,                 1.1338,                 0.0003,                0.01366,                0.00015,                  7e-05,                 0.0001,                0.00455,                  5e-05,                  1e-05,                    nan,                    nan,                    nan,                    nan,              0.0012492,              0.0012492,              0.0012492
                      2,                0.98785,                 1.3335,                0.86946,                 1.1563,                0.01496,                 0.4264,                0.01078,                0.00446,                0.00859,                0.24583,                0.00504,                 0.0026,                 3.0924,                 63.754,                    inf,                 17.676,              0.0017848,              0.0017848,              0.0017848
                      3,                0.93376,                 1.2014,                0.82166,                 1.1366,                0.03983,                0.57967,                0.03488,                0.02249,                0.04063,                0.61153,                 0.0356,                0.02115,                 1.5586,                 4.4083,                    inf,                 1.7443,               0.001703,               0.001703,               0.001703
                      4,                0.90381,                 1.1623,                0.74771,                 1.1063,                0.48987,                0.49165,                0.42695,                0.24873,                0.47708,                0.52352,                0.43238,                 0.2378,                 1.4025,                 2.7039,                 3.3073,                 1.6405,               0.001703,               0.001703,               0.001703
                      5,                0.87143,                 1.1545,                0.73188,                 1.0851,                0.59557,                0.77542,                0.66079,                0.48489,                 0.5676,                  0.739,                0.60981,                0.37954,                0.95449,                 2.3563,                 1.5667,                 1.2351,               0.001604,               0.001604,               0.001604
                      6,                0.82666,                 1.0503,                0.68292,                 1.0682,                0.86823,                0.81335,                0.90153,                0.66112,                0.86183,                0.81487,                0.90568,                0.60178,                0.89321,                 1.6126,                 1.2352,                 1.2084,               0.001505,               0.001505,               0.001505
                      7,                0.79261,                0.97927,                0.91794,                 1.0552,                0.79914,                0.90559,                0.91747,                0.68527,                0.79969,                 0.8966,                 0.9062,                0.59184,                0.86533,                 1.4096,                0.89748,                 1.1427,               0.001406,               0.001406,               0.001406
                      8,                0.76164,                 1.0223,                0.60405,                 1.0253,                 0.8135,                0.91351,                0.92194,                  0.709,                0.79974,                0.90294,                 0.8904,                0.58556,                0.80992,                 1.4861,                  1.148,                 1.1195,               0.001307,               0.001307,               0.001307
                      9,                0.74993,                0.98283,                 0.6096,                 1.0137,                0.80548,                0.94255,                0.93051,                0.72655,                0.81271,                0.94537,                0.93494,                0.66702,                0.78737,                0.96654,                0.87922,                  1.085,               0.001208,               0.001208,               0.001208
                     10,                0.74568,                0.97419,                0.63126,                 1.0279,                 0.8429,                0.92001,                0.93903,                0.73516,                0.84429,                0.92153,                0.93915,                0.65061,                0.80047,                 1.1282,                0.84724,                 1.0785,               0.001109,               0.001109,               0.001109
                     11,                0.75268,                0.91988,                0.62645,                 1.0238,                0.86291,                 0.8953,                0.94881,                0.75455,                0.85852,                0.89074,                0.94034,                 0.6716,                0.76635,                  1.298,                0.67901,                 1.0459,                0.00101,                0.00101,                0.00101
                     12,                0.73388,                0.97439,                0.59666,                 1.0262,                0.78864,                0.93475,                0.93118,                0.72603,                0.79761,                0.94537,                0.92775,                0.65875,                0.82418,                 1.4081,                0.82944,                 1.1123,               0.000911,               0.000911,               0.000911
                     13,                0.75444,                0.92058,                0.62395,                 1.0532,                0.84639,                0.96156,                0.96717,                0.79523,                0.84867,                0.96206,                0.96853,                0.74174,                0.69994,                0.88116,                 0.5609,                 1.0349,               0.000812,               0.000812,               0.000812
                     14,                0.68847,                0.82863,                0.54205,                 1.0026,                0.87253,                0.94524,                0.95825,                 0.7768,                0.87643,                0.94537,                 0.9614,                0.72958,                 0.7136,                0.83267,                0.56538,                 1.0155,               0.000713,               0.000713,               0.000713
                     15,                0.69865,                0.86324,                0.53633,                 1.0162,                0.88986,                0.93177,                0.96614,                   0.79,                0.88986,                0.93177,                0.96401,                0.74545,                0.73671,                0.82191,                0.56334,                 1.0319,               0.000614,               0.000614,               0.000614
                     16,                0.76023,                 0.8969,                0.65375,                 1.0631,                0.84311,                0.94234,                0.93455,                0.76337,                0.84234,                0.94082,                0.93053,                 0.7101,                0.69232,                0.80001,                0.54874,                 1.0094,               0.000515,               0.000515,               0.000515
                     17,                0.63344,                0.74363,                0.67219,                0.95508,                 0.9297,                0.93627,                0.97713,                0.81419,                0.92775,                0.93526,                0.97606,                0.76373,                 0.6627,                 0.7696,                0.49828,                0.98966,               0.000416,               0.000416,               0.000416
                     18,                0.64292,                0.82409,                 0.4813,                0.98105,                0.92398,                0.94061,                0.97497,                0.82771,                0.92249,                0.93909,                0.97602,                0.77896,                0.63436,                0.73025,                0.45954,                0.98466,               0.000317,               0.000317,               0.000317
                     19,                0.61046,                0.73249,                0.44189,                0.95867,                0.91367,                0.94756,                0.97586,                0.83781,                0.91067,                0.94365,                0.97478,                0.78545,                 0.6245,                0.73047,                  0.447,                 0.9731,               0.000218,               0.000218,               0.000218
